high,US,NaN,low,low,medium,regular,good,summer,good,working
low,UK,low,low,low,medium,regular,bad,fall,bad,weekend
low,UK,low,low,medium,low,regular,bad,winter,bad,weekend
low,Europe,low,low,low,low,regular,good,summer,good,weekend
low,NaN,low,NaN,medium,medium,regular,bad,winter,bad,working
low,US,low,low,low,low,regular,good,fall,NaN,working
high,Europe,low,low,low,NaN,NaN,good,spring,good,working
high,Europe,high,medium,low,low,NaN,bad,fall,bad,working
high,UK,low,low,high,medium,regular,bad,winter,bad,weekend
low,Europe,low,low,low,medium,regular,good,fall,good,working
low,Europe,low,high,medium,medium,NaN,bad,winter,bad,working
high,US,low,low,low,low,regular,good,fall,bad,working
high,US,low,medium,high,medium,regular,good,summer,good,working
high,NaN,NaN,low,low,medium,regular,good,spring,bad,working
low,US,low,low,low,NaN,regular,NaN,summer,good,weekend
low,US,low,high,low,medium,regular,NaN,NaN,good,working
low,Europe,low,medium,low,medium,regular,good,summer,good,working
high,UK,high,high,medium,medium,regular,bad,summer,good,weekend
low,US,low,high,medium,low,regular,bad,summer,NaN,holiday
low,US,high,high,high,medium,regular,bad,spring,bad,holiday
high,US,low,low,low,medium,regular,NaN,summer,good,working
high,Europe,low,low,high,medium,increased,good,spring,good,weekend
low,NaN,low,low,low,medium,increased,bad,summer,bad,working
low,Europe,low,low,low,medium,regular,good,spring,bad,holiday
low,Europe,low,NaN,high,medium,NaN,bad,spring,good,working
low,US,low,medium,medium,medium,regular,good,summer,good,working
high,Europe,high,low,low,low,regular,bad,winter,bad,working
high,US,low,low,low,medium,regular,good,summer,good,holiday
low,Europe,NaN,low,low,low,regular,bad,winter,bad,working
high,Europe,low,low,low,medium,regular,good,NaN,good,working
high,Europe,low,medium,medium,medium,regular,NaN,summer,good,weekend
low,US,low,medium,NaN,medium,regular,good,summer,good,working
low,Europe,low,high,medium,medium,NaN,good,summer,good,working
high,Europe,low,low,medium,low,regular,bad,fall,bad,holiday
high,US,low,low,low,low,regular,good,fall,good,working
low,Europe,low,low,medium,medium,regular,good,summer,good,working
low,Europe,low,medium,medium,low,regular,bad,spring,good,weekend
high,Europe,low,high,high,medium,regular,NaN,fall,bad,working
high,Europe,low,low,low,low,regular,good,summer,NaN,weekend
low,Europe,low,NaN,NaN,medium,regular,bad,winter,bad,working
low,US,low,low,medium,medium,regular,bad,fall,bad,weekend
high,UK,low,low,low,medium,regular,good,spring,bad,working
high,US,low,high,high,medium,regular,good,NaN,good,weekend
NaN,US,low,low,low,NaN,NaN,good,fall,good,weekend
high,Europe,high,high,NaN,medium,regular,bad,winter,bad,weekend
low,US,low,medium,high,low,regular,bad,fall,bad,working
high,UK,low,medium,medium,medium,regular,good,spring,good,working
high,US,low,high,high,medium,regular,good,spring,good,working
high,US,low,low,low,medium,increased,NaN,spring,NaN,working
high,US,low,low,low,low,NaN,good,summer,good,working
high,Europe,low,medium,medium,medium,regular,bad,NaN,bad,working
high,US,low,low,low,NaN,regular,good,summer,good,working
low,US,low,low,medium,low,regular,bad,winter,bad,working
high,Europe,high,medium,high,medium,regular,bad,winter,bad,working
high,UK,low,NaN,high,medium,regular,bad,spring,bad,working
high,US,low,low,medium,medium,regular,good,fall,good,working
NaN,Europe,low,low,high,medium,NaN,bad,winter,bad,working
high,Europe,high,high,high,medium,regular,good,summer,good,weekend
low,Europe,low,low,high,low,regular,good,summer,good,working
low,UK,low,low,low,low,regular,bad,spring,bad,weekend
NaN,US,high,high,high,medium,increased,good,fall,good,working
low,Europe,low,NaN,low,low,regular,bad,NaN,bad,working
low,UK,NaN,medium,medium,medium,NaN,bad,summer,bad,weekend
low,Europe,low,low,low,medium,regular,bad,winter,bad,working
low,Europe,low,medium,low,medium,NaN,bad,spring,good,working
low,Europe,low,medium,medium,NaN,regular,NaN,fall,bad,working
low,Europe,low,low,low,low,regular,bad,fall,bad,NaN
low,UK,low,low,low,medium,regular,bad,NaN,good,working
low,UK,NaN,low,low,low,regular,bad,fall,bad,weekend
high,US,low,low,low,medium,increased,good,spring,good,working
high,US,low,medium,low,medium,regular,NaN,summer,bad,working
low,US,low,low,low,medium,regular,bad,spring,bad,working
low,US,low,low,medium,low,regular,bad,winter,bad,working
low,UK,low,low,low,low,regular,bad,spring,bad,weekend
high,Europe,low,medium,high,medium,regular,good,spring,NaN,weekend
NaN,Europe,low,high,high,medium,regular,good,spring,good,working
low,Europe,low,low,medium,medium,regular,bad,fall,bad,weekend
low,US,low,low,medium,NaN,regular,NaN,winter,bad,working
low,US,low,low,NaN,medium,increased,bad,spring,bad,working
NaN,US,low,low,low,medium,regular,bad,winter,bad,weekend
high,Europe,low,high,high,medium,regular,good,summer,good,working
high,UK,low,low,low,medium,regular,good,spring,good,working
high,US,high,high,high,medium,regular,NaN,winter,bad,working
high,UK,low,medium,low,medium,regular,bad,spring,bad,working
high,US,low,low,NaN,low,regular,bad,winter,bad,weekend
high,NaN,high,NaN,medium,low,regular,bad,winter,bad,working
NaN,US,low,medium,low,medium,NaN,bad,summer,bad,working
high,Europe,low,low,NaN,medium,regular,good,spring,good,working
high,US,low,medium,high,medium,regular,good,summer,good,working
low,UK,low,low,low,low,regular,good,spring,good,weekend
low,US,low,high,high,medium,regular,good,spring,good,NaN
low,UK,low,low,medium,medium,regular,NaN,winter,bad,working
low,US,low,medium,low,medium,increased,bad,spring,bad,weekend
low,US,low,low,low,medium,regular,bad,fall,bad,working
high,Europe,low,medium,low,low,increased,good,summer,good,working
high,US,low,low,low,medium,regular,NaN,NaN,good,working
high,UK,low,low,low,medium,regular,NaN,spring,bad,NaN
high,UK,low,NaN,low,NaN,regular,good,spring,good,working
high,Europe,low,medium,high,medium,regular,NaN,summer,good,working
high,NaN,low,low,low,low,regular,good,spring,good,working
